a;847
of;957
by;932
and;662
the;668
in;546
on;480
with;309
k;299
8;248
from;167
at;174
very;105
4;105
an;129
old;93
to;67
5;79
0;53
d;56
for;77
1;62
2;39
3;52
is;37
s;45
over;33
9;40
under;40
up;30
make;33
are;24
no;22
above;26
6;28
all;29
during;28
next;14
looking;26
through;25
as;24
one;23
down;23
7;16
r;11
near;17
into;20
still;19
like;19
after;19
but;18
behind;16
many;15
best;16
new;15
that;14
out;14
few;11
being;14
it;13
or;11
his;5
each;11
within;10
where;10
around;9
alone;9
this;7
several;8
its;7
has;7
other;7
not;6
more;7
j;4
along;7
two;6
than;6
seen;6
below;6
any;6
while;5
way;5
really;5
outside;4
looks;5
little;5
between;5
65;5
2050;5
towards;4
th;4
so;4
far;4
f;4
com;4
your;3
without;3
whole;3
v;3
their;3
somewhere;3
some;3
novel;3
most;3
m;3
here;3
her;3
h;3
gets;3
every;3
containing;3
co;3
about;3
672;3
1680;3
